"eventid","eventname","subtype","cuisine","price","openWeek","closeWeek","openSat","closeSat","openSun","closeSun","popularity","longitude","latitude","eventlength"
1,"Jarryds","breakfast","Cafe",2,"7",NA,"7",NA,"7",NA,3,"18.4240553","-33.9248685",1.5
2,"Truth Coffee","breakfast","Cafe",1,"7.5","18","7.5","18","7.5","18",3,"18.4240553","-33.9248685",1
3,"The Deckhouse Crab Shack and BBQ","breakfast","Seafood",3,"11","22","11","22","11","22",1,"18.4240553","-33.9248685",2
4,"The Towers Restaurant - African Pride Crystal Towers","breakfast","Contemporary",3,"6.5","22","6.5","22","6.5","22",1,"18.4240553","-33.9248685",2
5,"Jason","breakfast","Cafe",1,NA,NA,NA,NA,NA,NA,3,"18.5998912","-34.0349818",1
6,"Karibu","breakfast","Steakhouse",3,"9","23","9","23","9","23",1,"18.4240553","-33.9248685",2
7,"NOMAD Bistro Fusion","breakfast","International",1,"8","16","8","16","8","16",1,"18.4240553","-33.9248685",1
8,"Maria's","breakfast","Greek",2,"8.5","22","8.5","22","8.5","22",2,"18.6285888","-33.8959997",1.5
9,"Starlings Cafe","breakfast","Cafe",1,"7","17","7","17","7","17",3,"18.4240553","-33.9248685",1
10,"Bacon on Bree","breakfast","Cafe",1,"7","16","7","16","7","16",2,"18.4240553","-33.9248685",1
11,"The Larder","breakfast","Cafe",1,"7","17","7","17","7","17",2,"18.4240553","-33.9248685",1
12,"Schoon De Companje","breakfast","European",1,"7","22","7","22","7","22",2,"18.4240553","-33.9248685",1
13,"Company's Garden","breakfast","Cafe",1,"7","18","7","18","7","18",2,"18.416663","-33.9274451",1
14,"Honest Chocolate Cafe","breakfast","Cafe",1,"9","17","9","17","9","17",2,"18.4240553","-33.9248685",1
15,"Mynt Cafe","breakfast","Cafe",2,"8","23","8","23","8","23",1,"18.4240553","-33.9248685",1.5
16,"Warwick Wine Estate","breakfast","South African",3,"9","17","9","17","9","17",1,"18.4240553","-33.9248685",2
17,"PRIMI Piatti","breakfast","Italian",3,"9","22","9","22","9","22",2,"18.4240553","-33.9248685",2
18,"Four & Twenty","breakfast","Cafe",2,"8","17","8","17","8","17",3,"-1.594144","47.757069",1.5
19,"Greens","breakfast","Cafe",2,"8","17","8","17","8","17",1,"18.568265","-33.895519",1.5
20,"tashas","breakfast","Cafe",2,"7.5","21","7.5","21","7.5","21",3,"18.4240553","-33.9248685",1.5
21,"Lekke Neh Restaurant","breakfast","Burger",2,"9","17","9","17","9","17",1,"18.4240553","-33.9248685",1.5
22,"Durbanville Hills Restaurant","breakfast","Grill",3,"8.5","15","8.5","15","8.5","15",1,"18.4240553","-33.9248685",2
23,"Kleinskys Delicatessen","breakfast","Deli",1,"8","17","8","17","8","17",2,"18.4240553","-33.9248685",1
24,"Haas Collective","breakfast","Cafe",1,"7","17","7","17","7","17",1,"18.4240553","-33.9248685",1
25,"Mondiall","breakfast","Seafood",3,"9","11","9","11","9","11",2,"18.4240553","-33.9248685",2
26,"ON19 Restaurant - The Westin Cape Town","breakfast","African",3,"6.5","10","6.5","10","6.5","10",1,"18.4240553","-33.9248685",2
27,"Yours Truly","breakfast","Cafe",1,"6","23","6","23","6","23",2,"18.4240553","-33.9248685",1
28,"Pastis","breakfast","French",3,"8.5","22","8.5","22","8.5","22",1,"18.4240553","-33.9248685",2
29,"Bootlegger Coffee Company","breakfast","Cafe",1,"6.5","22","6.5","22","6.5","22",2,"18.4240553","-33.9248685",1
30,"Bistro Sixteen82","breakfast","French",3,"9","11","9","11","9","11",2,"18.4240553","-33.9248685",2
31,"Yoco Eatery","breakfast","Burger",1,"8","16","8","16","8","16",1,"18.4240553","-33.9248685",1
32,"Franky's Diner","breakfast","American",1,NA,NA,NA,NA,NA,NA,2,"18.4240553","-33.9248685",1
33,"Honeybun","breakfast","Cafe",1,"7","17","7","17","7","17",1,"18.4240553","-33.9248685",1
34,"Tokara Delicatessen","breakfast","Deli",2,"9",NA,"9",NA,"9",NA,1,"18.4240553","-33.9248685",1.5
35,"Restaurant @ Sweetwell","breakfast","Cafe",3,"8","16","8","16","8","16",1,"18.4240553","-33.9248685",2
36,"Clarke's Bar & Dining Room","breakfast","European",1,"7","17","7","17","7","17",3,"-123.7706767","45.4389951",1
37,"Hillcrest Restaurant","breakfast","Mediterranean",2,"9","17","9","17","9","17",1,"18.4240553","-33.9248685",1.5
38,"The Gardener's Cottage","breakfast","Cafe",1,"8",NA,"8",NA,"8",NA,1,"18.5095579","-33.935621",1
